@relation jAudio
@ATTRIBUTE "Spectral Centroid Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Spectral Rolloff Point Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Spectral Flux Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Compactness Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Spectral Variability Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Root Mean Square Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Fraction Of Low Energy Windows Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Zero Crossings Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Strongest Beat Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Beat Sum Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Strength Of Strongest Beat Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation1" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation2" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation3" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation4" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation5" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation6" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation7" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation8" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation9" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation10" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation11" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation12" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation1" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation2" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation3" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation4" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation5" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation6" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation7" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation8" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation9" NUMERIC
@ATTRIBUTE "Method of Moments Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Method of Moments Overall Standard Deviation1" NUMERIC
@ATTRIBUTE "Method of Moments Overall Standard Deviation2" NUMERIC
@ATTRIBUTE "Method of Moments Overall Standard Deviation3" NUMERIC
@ATTRIBUTE "Method of Moments Overall Standard Deviation4" NUMERIC
@ATTRIBUTE "Spectral Centroid Overall Average0" NUMERIC
@ATTRIBUTE "Spectral Rolloff Point Overall Average0" NUMERIC
@ATTRIBUTE "Spectral Flux Overall Average0" NUMERIC
@ATTRIBUTE "Compactness Overall Average0" NUMERIC
@ATTRIBUTE "Spectral Variability Overall Average0" NUMERIC
@ATTRIBUTE "Root Mean Square Overall Average0" NUMERIC
@ATTRIBUTE "Fraction Of Low Energy Windows Overall Average0" NUMERIC
@ATTRIBUTE "Zero Crossings Overall Average0" NUMERIC
@ATTRIBUTE "Strongest Beat Overall Average0" NUMERIC
@ATTRIBUTE "Beat Sum Overall Average0" NUMERIC
@ATTRIBUTE "Strength Of Strongest Beat Overall Average0" NUMERIC
@ATTRIBUTE "MFCC Overall Average0" NUMERIC
@ATTRIBUTE "MFCC Overall Average1" NUMERIC
@ATTRIBUTE "MFCC Overall Average2" NUMERIC
@ATTRIBUTE "MFCC Overall Average3" NUMERIC
@ATTRIBUTE "MFCC Overall Average4" NUMERIC
@ATTRIBUTE "MFCC Overall Average5" NUMERIC
@ATTRIBUTE "MFCC Overall Average6" NUMERIC
@ATTRIBUTE "MFCC Overall Average7" NUMERIC
@ATTRIBUTE "MFCC Overall Average8" NUMERIC
@ATTRIBUTE "MFCC Overall Average9" NUMERIC
@ATTRIBUTE "MFCC Overall Average10" NUMERIC
@ATTRIBUTE "MFCC Overall Average11" NUMERIC
@ATTRIBUTE "MFCC Overall Average12" NUMERIC
@ATTRIBUTE "LPC Overall Average0" NUMERIC
@ATTRIBUTE "LPC Overall Average1" NUMERIC
@ATTRIBUTE "LPC Overall Average2" NUMERIC
@ATTRIBUTE "LPC Overall Average3" NUMERIC
@ATTRIBUTE "LPC Overall Average4" NUMERIC
@ATTRIBUTE "LPC Overall Average5" NUMERIC
@ATTRIBUTE "LPC Overall Average6" NUMERIC
@ATTRIBUTE "LPC Overall Average7" NUMERIC
@ATTRIBUTE "LPC Overall Average8" NUMERIC
@ATTRIBUTE "LPC Overall Average9" NUMERIC
@ATTRIBUTE "Method of Moments Overall Average0" NUMERIC
@ATTRIBUTE "Method of Moments Overall Average1" NUMERIC
@ATTRIBUTE "Method of Moments Overall Average2" NUMERIC
@ATTRIBUTE "Method of Moments Overall Average3" NUMERIC
@ATTRIBUTE "Method of Moments Overall Average4" NUMERIC

@ATTRIBUTE classe {Cat, Dog}

@DATA
1.285E1,9.494E-2,1.115E-3,1.661E2,9.708E-4,4.094E-2,3.196E-2,2.534E1,3.254E1,4.762E0,9.352E-4,1.885E1,6.062E0,3.105E0,2.435E0,1.776E0,2.073E0,2.135E0,1.764E0,1.981E0,1.967E0,2.164E0,1.838E0,1.437E0,8.734E-2,2.502E-1,1.849E-1,1.244E-1,1.142E-1,8.482E-2,8.788E-2,7.775E-2,7.639E-2,0E0,9.297E-2,1.34E1,9.671E2,7.827E4,1.416E7,1.909E1,1.155E-1,3.572E-4,1.534E3,6.17E-4,2.611E-2,7.658E-1,5.281E1,1.53E2,2.034E1,1.301E-2,-1.536E2,5.144E0,1.448E0,7.961E-1,-6.193E-1,4.708E-1,2.919E-1,-4.508E-1,-1.238E0,-1.595E0,-7.105E-1,-7.909E-1,-1.18E0,-9.266E-1,4.155E-1,-1.53E-1,1.124E-1,-3.371E-2,8.979E-2,1.429E-2,7.525E-2,8.458E-4,0E0,6.399E-2,4.953E1,3.03E3,2.58E5,4.57E7,Cat
2.902E1,1.718E-1,2.4E-3,2.853E2,2.475E-3,9.798E-2,3.902E-2,5.07E1,4.89E-1,1.851E1,1.688E-4,1.035E2,1.399E1,6.575E0,4.21E0,4.05E0,4.404E0,3.247E0,3.522E0,3.493E0,3.377E0,4.136E0,4.558E0,3.186E0,2.097E-1,3.54E-1,1.842E-1,2.481E-1,2.192E-1,1.797E-1,1.362E-1,1.658E-1,1.348E-1,0E0,2.83E-1,2.429E1,1.412E3,1.068E5,2.214E7,5.549E1,2.986E-1,1.491E-3,1.587E3,2.408E-3,9.967E-2,5.09E-1,1.101E2,8.319E1,2.686E2,1.332E-2,-1.742E2,-1.787E1,-5.99E0,-1.519E-2,-3.434E0,-1.352E-1,-8.692E-1,-4.007E0,-1.292E0,1.04E-1,3.907E0,2.562E0,6.614E-1,-6.823E-1,5.205E-1,-4.784E-2,2.772E-1,-3.701E-3,1.009E-1,-7.853E-2,1.795E-1,-2.51E-2,0E0,2.902E-1,8.151E1,3.059E3,1.606E5,3.332E7,Cat
2.303E1,1.212E-1,1.151E-2,2.233E2,5.135E-3,1.949E-1,0E0,4.594E1,0E0,0E0,0E0,1.88E1,9.805E0,3.115E0,3.302E0,2.955E0,3.651E0,2.688E0,3.164E0,2.299E0,3.264E0,3.719E0,3.601E0,2.701E0,1.474E-1,2.175E-1,2.094E-1,2.356E-1,1.604E-1,1.83E-1,1.528E-1,1.793E-1,1.95E-1,0E0,3.603E-1,1.954E1,6.243E2,6.221E4,1.142E7,3.64E1,1.753E-1,7.117E-3,1.635E3,5.626E-3,2.178E-1,0E0,7.744E1,0E0,0E0,0E0,-1.249E2,-3.486E0,-7.341E-1,-7.341E-1,1.065E0,5.108E-1,2.757E0,2.96E0,3.752E-2,-4.967E0,-4.498E0,3.274E0,2.99E0,-8.515E-1,6.682E-1,-5.786E-2,3.003E-1,-3.337E-2,2.835E-1,-1.129E-1,5.927E-2,1.424E-1,0E0,4.024E-1,5.747E1,2.298E3,1.66E5,2.7E7,Cat
1.175E1,1.063E-1,2.68E-3,1.629E2,2.519E-3,9.516E-2,6.981E-2,3.12E1,6.543E1,1.723E1,1.771E-3,1.365E1,4.49E0,4.652E0,2.464E0,2.227E0,2.463E0,2.061E0,2.875E0,3.12E0,3.462E0,3.978E0,2.949E0,2.704E0,1.05E-1,2.359E-1,1.532E-1,1.503E-1,1.195E-1,1.241E-1,1.389E-1,1.605E-1,1.38E-1,0E0,1.4E-1,1.428E1,8.782E2,4.531E4,8.547E6,3.271E1,1.971E-1,7.429E-4,1.587E3,1.642E-3,6.383E-2,7.017E-1,7.674E1,1.939E2,9.183E1,1.464E-2,-1.406E2,-4.674E-1,-5.884E0,-2.337E0,-1.785E0,-1.969E0,-5.929E-1,-2.777E0,-1.307E0,-6.78E-1,6.537E-1,5.536E-1,-2.483E-1,-8.681E-1,5.55E-1,-4.592E-2,1.801E-1,-4.783E-2,8.205E-2,1.694E-2,1.408E-1,9.789E-2,0E0,1.175E-1,5.963E1,3.047E3,2.335E5,4.116E7,Cat
8.746E0,7.285E-2,1.048E-3,1.524E2,1.632E-3,6.07E-2,6.449E-2,2.578E1,7.328E1,5.942E0,4.687E-4,1.17E1,2.725E0,4.21E0,2.36E0,1.967E0,2.432E0,1.969E0,2.566E0,2.527E0,2.207E0,3.565E0,2.795E0,1.89E0,5.917E-2,2.132E-1,1.489E-1,1.469E-1,1.235E-1,1.167E-1,1.455E-1,1.274E-1,1.083E-1,0E0,8.225E-2,1.223E1,8.229E2,4.122E4,8.313E6,2.958E1,1.675E-1,3.734E-4,1.584E3,1.314E-3,5.089E-2,6.585E-1,6.885E1,1.846E2,6.938E1,1.023E-2,-1.423E2,1.139E0,-6.882E0,-2.545E0,-1.727E0,-2.382E0,-1.184E0,-2.945E0,-1.629E0,5.101E-1,2.342E0,1.786E0,-8.382E-1,-8.973E-1,6.221E-1,-2.31E-2,1.636E-1,-4.774E-2,5.838E-2,3.98E-2,1.327E-1,9.442E-2,0E0,9.127E-2,5.471E1,2.767E3,2.344E5,3.996E7,Cat
9.263E0,7.929E-2,8.012E-4,1.428E2,1.377E-3,5.106E-2,1.117E-1,2.643E1,3.996E-13,1.717E1,1.406E-3,1.151E1,2.661E0,3.854E0,2.637E0,2.625E0,2.138E0,1.798E0,2.696E0,2.625E0,2.442E0,3.335E0,2.679E0,2.208E0,6.419E-2,2.082E-1,1.695E-1,1.533E-1,1.042E-1,1.249E-1,1.361E-1,1.39E-1,8.803E-2,0E0,6.974E-2,1.245E1,7.894E2,3.802E4,7.888E6,2.98E1,1.712E-1,2.391E-4,1.58E3,1.139E-3,4.416E-2,6.235E-1,7.023E1,2.206E2,6.119E1,1.163E-2,-1.438E2,1.2E0,-5.827E0,-2.278E0,-2.242E0,-1.96E0,-8.562E-1,-2.406E0,-8.916E-1,1.138E0,2.09E0,1.064E0,-1.529E0,-8.939E-1,6.213E-1,-1.194E-2,1.815E-1,-4.413E-2,6.04E-2,3.64E-2,1.247E-1,5.842E-2,0E0,8.123E-2,5.501E1,2.808E3,2.353E5,4.026E7,Cat
2.041E1,1.266E-1,7.31E-4,1.58E2,6.556E-4,2.841E-2,6.061E-2,3.478E1,1.702E0,3.403E0,8.869E-4,1.801E1,6.072E0,2.371E0,2.498E0,1.875E0,1.864E0,1.942E0,1.712E0,1.796E0,1.382E0,1.358E0,1.356E0,1.37E0,1.281E-1,3.53E-1,1.832E-1,1.346E-1,1.247E-1,1.079E-1,1.051E-1,1.061E-1,7.865E-2,0E0,1.134E-1,1.271E1,1.11E3,1.343E5,2.348E7,1.848E1,1.035E-1,2.183E-4,1.526E3,6.391E-4,2.667E-2,6.849E-1,5.595E1,1.174E2,1.562E1,1.114E-2,-1.489E2,1.716E0,2.207E0,2.225E0,1.221E0,9.486E-1,7.816E-1,1.468E-1,-5.819E-1,-3.148E-1,1.468E-1,-5.947E-1,-7.834E-1,-9.048E-1,9.746E-2,-1.23E-1,3.35E-2,-9.778E-2,2.028E-2,-6.666E-2,1.376E-2,-2.498E-2,0E0,8.505E-2,5.881E1,4.344E3,3.625E5,6.95E7,Cat
2.065E1,1.329E-1,4.813E-4,1.565E2,6.363E-4,2.697E-2,5.674E-2,3.656E1,1.219E0,3E0,4.727E-4,1.828E1,5.703E0,2.378E0,2.508E0,2.197E0,2.032E0,1.737E0,1.98E0,1.954E0,1.466E0,1.554E0,1.405E0,1.219E0,1.297E-1,3.398E-1,1.712E-1,1.474E-1,1.361E-1,1.146E-1,1.083E-1,1.15E-1,9.489E-2,0E0,1.113E-1,1.362E1,1.115E3,1.353E5,2.365E7,1.783E1,1.047E-1,2.303E-4,1.543E3,8.074E-4,3.285E-2,6.501E-1,5.229E1,1.176E2,3.182E1,1.26E-2,-1.444E2,8.428E-1,2.324E0,2.657E0,6.83E-1,3.503E-1,5.926E-1,-4.925E-2,-8.736E-1,-3.949E-1,1.009E-1,-9.76E-1,-7.832E-1,-9.072E-1,1.45E-1,-1.716E-1,-7.801E-3,-1.089E-1,1.678E-2,-8.013E-2,7.289E-3,-2.231E-2,0E0,9.966E-2,5.747E1,4.118E3,3.418E5,6.56E7,Cat
1.842E1,1.205E-1,4.34E-4,1.684E2,6.557E-4,2.69E-2,5.288E-2,3.293E1,3.749E1,2.801E0,3.542E-4,1.775E1,5.641E0,2.37E0,2.792E0,2.1E0,2.037E0,1.735E0,2.052E0,2.01E0,1.492E0,1.527E0,1.314E0,1.207E0,1.108E-1,3.456E-1,1.808E-1,1.299E-1,1.616E-1,1.045E-1,1.345E-1,1.266E-1,1.051E-1,0E0,9.585E-2,1.45E1,1.218E3,1.275E5,2.297E7,1.621E1,9.958E-2,2.23E-4,1.519E3,9.279E-4,3.689E-2,5.823E-1,4.898E1,1.541E2,3.671E1,9.249E-3,-1.411E2,2.109E0,2.453E0,2.98E0,2.111E-1,-3.769E-1,1.18E-1,-1.378E-1,-7.758E-1,8.277E-2,2.086E-1,-1.266E0,-9.819E-1,-9.206E-1,1.896E-1,-1.531E-1,-2.251E-2,-1.202E-1,5.626E-3,-6.707E-2,2.368E-3,-1.7E-2,0E0,1.047E-1,5.473E1,3.937E3,3.323E5,6.358E7,Cat
2.88E1,1.87E-1,4.618E-3,1.669E2,2.994E-3,1.173E-1,0E0,6E1,0E0,0E0,0E0,3.45E1,1.327E1,3.804E0,2.899E0,2.569E0,4.828E0,3.293E0,3.302E0,3.587E0,2.827E0,5.261E0,3.671E0,2.899E0,1.782E-1,2.729E-1,2.849E-1,2.432E-1,2.204E-1,1.658E-1,1.331E-1,1.633E-1,2.311E-1,0E0,3.022E-1,2.569E1,9.049E2,1.111E5,1.867E7,4.913E1,3.177E-1,3.044E-3,1.585E3,3.727E-3,1.44E-1,0E0,1.076E2,0E0,0E0,0E0,-1.456E2,-1.239E1,-8.156E-1,-2.091E0,2.388E0,4.905E0,4.524E0,-6.317E-1,-4.405E0,-2.644E0,4.03E0,2.649E0,-3.292E0,-6.982E-1,4.916E-1,-3.977E-1,3.641E-1,-2.698E-1,1.047E-1,-3.828E-2,4.171E-2,-5.475E-2,0E0,3.413E-1,6.698E1,2.406E3,9.548E4,2.391E7,Cat
